,Mx,My,Mz,Pot1,Pot2
349,-260.3434602755407,-174.4296063809612,-166.43556944079864,384,801
350,-272.2411550330843,-144.96636494404902,-169.7839404363233,383,774
351,-272.7694685822752,-107.66037988858267,-170.43556944079864,381,741
352,-287.90096724569787,-63.120215502434775,-178.43556944079864,383,701
353,-286.82062412215316,-65.04192789401787,-179.73450090931397,377,684
354,-285.82062412215316,-61.041927894017874,-174.38179373748017,377,682
355,-281.82062412215316,-58.120215502434775,-169.43556944079864,378,680
356,-287.82062412215316,-68.12021550243477,-175.08575787110794,379,685
357,-281.90096724569787,-97.04192789401787,-162.08575787110794,379,707
358,-261.82062412215316,-177.50380560373173,-158.43556944079864,381,762
359,-239.34346027554068,-246.35813740853587,-150.7839404363233,381,794
360,-227.82062412215316,-284.35813740853587,-144.43556944079864,383,811
361,-233.34346027554068,-292.4296063809612,-141.08575787110794,386,825
362,-231.90096724569787,-284.89353038045965,-136.43556944079864,386,831
363,-235.34346027554068,-280.89353038045965,-135.7839404363233,386,835
364,-230.76946858227518,-287.4296063809612,-139.13087567561888,384,836
365,-234.34346027554068,-276.35813740853587,-142.13087567561888,384,838
366,-240.82062412215316,-249.89353038045965,-147.08575787110794,383,1023
367,-247.29595925151455,-213.89353038045965,-151.08575787110794,386,822
368,-252.34346027554068,-199.96636494404902,-152.38179373748017,384,809
369,-261.8644647930272,-185.4296063809612,-166.08575787110794,381,800
370,-263.3836347559628,-169.4296063809612,-159.13087567561888,381,785
371,-266.3836347559628,-145.04192789401787,-168.73450090931397,381,768
372,-276.8644647930272,-106.12021550243477,-165.38179373748017,379,733
373,-284.82062412215316,-70.66037988858267,-167.7839404363233,381,696
374,-283.90096724569787,-63.58073134891606,-167.08575787110794,382,682
375,-291.3434602755407,-66.12021550243477,-175.43556944079864,381,681
376,-283.82062412215316,-63.120215502434775,-170.7839404363233,378,676
377,-284.8644647930272,-63.120215502434775,-166.08575787110794,381,681
378,-285.8644647930272,-65.28494978288677,-161.08575787110794,379,682
379,-281.82062412215316,-76.04192789401787,-165.73450090931397,380,700
380,-274.3434602755407,-120.04192789401787,-157.08575787110794,382,732
381,-261.3434602755407,-176.4296063809612,-153.13087567561888,382,765
382,-240.24115503308428,-232.96636494404902,-149.73450090931397,382,794
383,-230.82062412215316,-267.4296063809612,-142.08575787110794,385,811
384,-233.34346027554068,-285.89353038045965,-140.7839404363233,387,826
385,-233.29595925151455,-279.35813740853587,-137.7839404363233,387,834
386,-238.76946858227518,-282.966364944049,-132.43556944079864,386,837
387,-238.17907096944793,-283.966364944049,-140.7839404363233,387,856
388,-232.17907096944793,-285.4296063809612,-139.7839404363233,391,841
389,-234.76946858227518,-286.8234279311813,-146.08575787110794,387,843
390,-235.24115503308428,-289.4296063809612,-145.08575787110794,387,842
391,-239.71102152259175,-285.28940241438727,-140.13087567561888,387,841
392,-234.64530629230273,-283.35813740853587,-134.43556944079864,387,842
393,-236.64530629230273,-277.89353038045965,-140.7839404363233,386,842
394,-237.17907096944793,-278.89353038045965,-142.7839404363233,387,841
395,-237.17907096944793,-286.966364944049,-144.08575787110794,386,843
396,-214.07567761910184,-231.54785059173432,-124.40814884643146,299,800
397,-209.7912094649363,-239.20784065804165,-128.3023879447951,299,817
398,-213.145857265465,-237.96187552348945,-116.40814884643146,303,803
399,-213.43448194326527,-228.6244607026261,-112.96859556083405,301,802
400,-217.43448194326527,-232.79187009065168,-113.52538059907647,300,800
401,-219.84890202849567,-239.96187552348945,-106.18882750418425,301,798
402,-221.145857265465,-235.37654853446475,-116.52538059907647,300,799
403,-224.43448194326527,-227.6244607026261,-105.62656440551223,302,799
404,-219.4984224262015,-230.13447327320793,-121.96859556083405,302,800
405,-221.145857265465,-224.37654853446475,-118.96859556083405,301,799
406,-222.145857265465,-218.37654853446475,-113.52538059907647,300,798
407,-221.145857265465,-209.20784065804165,-118.3023879447951,301,794
408,-222.43448194326527,-198.96187552348945,-123.3023879447951,301,792
409,-225.71479941109612,-192.20784065804165,-126.96859556083405,302,786
410,-236.07567761910184,-175.54785059173432,-123.74744819844364,301,776
411,-241.43448194326527,-157.96187552348945,-120.96859556083405,300,764
412,-246.43448194326527,-141.96187552348945,-129.52538059907647,297,676
413,-260.07567761910184,-102.13447327320793,-129.3023879447951,297,767
414,-271.145857265465,-74.89822233708693,-122.52538059907647,296,580
415,-272.7147994110961,-85.48743081156115,-143.3023879447951,292,644
416,-270.7912094649363,-78.48743081156115,-123.18882750418425,291,646
417,-271.6197506705229,-73.48743081156115,-134.52538059907647,294,647
418,-272.43448194326527,-82.85071288225961,-138.84407899936377,291,647
419,-259.98683301815674,-106.30965961187567,-136.40814884643146,296,535
420,-243.98683301815674,-156.89822233708693,-119.40814884643146,292,744
421,-228.71479941109612,-195.72174310191886,-124.40814884643146,295,769
422,-222.07567761910184,-218.96187552348945,-105.84407899936377,293,782
